,,,"repost from january 13 , 2004 with a better fit title .",prep_from####repost####January######num####January####13######num####January####2004######det####title####a######advmod####fit####better######amod####title####fit######prep_with####repost####title
,,,does your apex_dvd player only play dvd_audio without video ?,aux####play####does######poss####player####your######nn####player####apex_dvd######nsubj####play####player######advmod####play####only######dobj####play####dvd_audio######prep_without####play####video
,,,or does it play audio and video but scrolling in black and white ?,dep####play####or######aux####play####does######nsubj####play####it######dobj####play####audio######dobj####play####video######conj_and####audio####video######prep####audio####but######dep####but####scrolling######prep_in####scrolling####black######prep_in####scrolling####white######conj_and####black####white
,,,"before you try to return the player or waste_hours calling apex_tech support , or run the player over with your car , try these simple troubleshooting_ideas first .",mark####try####before######nsubj####try####you######xsubj####return####you######advcl####try####try######aux####return####to######xcomp####try####return######det####player####the######dobj####return####player######dobj####return####waste_hours######conj_or####player####waste_hours######partmod####player####calling######amod####support####apex_tech######dobj####calling####support######xcomp####try####run######conj_or####return####run######det####player####the######dobj####run####player######prt####run####over######poss####car####your######prep_with####run####car######det####troubleshooting_ideas####these######amod####troubleshooting_ideas####simple######dobj####try####troubleshooting_ideas######advmod####try####first
,,,no picture :,det####picture####no
,,,hopefully you still have the remote control .,advmod####have####hopefully######nsubj####have####you######advmod####have####still######det####control####the######amod####control####remote######dobj####have####control
,,,"if you tossed it out the window , you need to fetch it .",mark####tossed####if######nsubj####tossed####you######advcl####need####tossed######dobj####tossed####it######det####window####the######prep_out####tossed####window######nsubj####need####you######xsubj####fetch####you######aux####fetch####to######xcomp####need####fetch######dobj####fetch####it
,,,"using the remote control , press the i/p button located on the bottom right corner of the remote .",dep####located####using######det####control####the######amod####control####remote######dobj####using####control######nsubj####located####press######det####button####the######nn####button####i\/p######dep####press####button######det####corner####the######amod####corner####bottom######nn####corner####right######prep_on####located####corner######det####remote####the######prep_of####corner####remote
,,,the i/p button switches the tv_display between interlace and progressive .,det####button####the######nn####button####i\/p######nsubj####switches####button######det####tv_display####the######dobj####switches####tv_display######prep_between####tv_display####interlace######prep_between####tv_display####progressive######conj_and####interlace####progressive
,,,"if this doesnt bring back the picture , try pressing this button without playing a dvd .",mark####bring####if######det####doesnt####this######nsubj####bring####doesnt######advcl####try####bring######prt####bring####back######det####picture####the######dobj####bring####picture######xcomp####try####pressing######det####button####this######dobj####pressing####button######prepc_without####pressing####playing######det####dvd####a######dobj####playing####dvd
,,,"if you dont get video back , now you can run the player over with your car !",mark####dont####if######nsubj####dont####you######advcl####run####dont######xcomp####dont####get######dobj####get####video######advmod####get####back######advmod####run####now######nsubj####run####you######aux####run####can######det####player####the######dobj####run####player######prt####run####over######poss####car####your######prep_with####run####car
,,,picture scrolling in b/w :,nsubj####scrolling####picture######prep_in####scrolling####b\/w
,,,you need the remote control for this so you better get it from your dog before he burries it in the backyard .,nsubj####need####you######det####control####the######amod####control####remote######dobj####need####control######prep_for####need####this######mark####get####so######nsubj####get####you######advmod####get####better######advcl####need####get######dobj####get####it######poss####dog####your######prep_from####get####dog######mark####burries####before######nsubj####burries####he######advcl####get####burries######dobj####burries####it######det####backyard####the######prep_in####burries####backyard
,,,press the p/n button located on the bottom right corner of the remote .,det####button####the######nn####button####p\/n######dobj####press####button######partmod####button####located######det####corner####the######amod####corner####bottom######nn####corner####right######prep_on####located####corner######det####remote####the######prep_of####corner####remote
,,,the p/n button switches your dvd_players video output_signal between pal and ntsc .,det####button####the######nn####button####p\/n######nsubj####switches####button######poss####output_signal####your######amod####output_signal####dvd_players######nn####output_signal####video######dobj####switches####output_signal######prep_between####output_signal####pal######prep_between####output_signal####ntsc######conj_and####pal####ntsc
